0.4268398 , 1.455263  | in degrees: 1 | out degrees: 2 |
-0.4898692 , 0.5687472  | in degrees: 1 | out degrees: 2 |
-0.4925237 , 0.6546273  | in degrees: 3 | out degrees: 2 |
-0.5270028 , 0.7465359  | in degrees: 2 | out degrees: 2 |
-0.474192 , 0.8277841  | in degrees: 1 | out degrees: 2 |
-0.4873237 , 0.4334609  | in degrees: 3 | out degrees: 2 |
-0.4273481 , 0.41265  | in degrees: 1 | out degrees: 2 |
-0.5094653 , 0.3598046  | in degrees: 3 | out degrees: 2 |
-0.5331174 , 0.2963804  | in degrees: 4 | out degrees: 2 |
-0.5969202 , 0.2305375  | in degrees: 3 | out degrees: 2 |
-0.6212291 , 0.2445552  | in degrees: 2 | out degrees: 2 |
-1.456997 , -0.6116113  | in degrees: 1 | out degrees: 2 |
-1.371708 , -0.4625157  | in degrees: 4 | out degrees: 2 |
-1.442717 , -0.3853482  | in degrees: 3 | out degrees: 2 |
-1.554975 , -0.3181236  | in degrees: 1 | out degrees: 2 |
-1.278103 , -0.4105946  | in degrees: 4 | out degrees: 2 |
-1.20558 , -0.5228872  | in degrees: 2 | out degrees: 2 |
-1.183427 , -0.5216121  | in degrees: 2 | out degrees: 2 |
-0.1548985 , 0.3290806  | in degrees: 2 | out degrees: 2 |
-0.1475466 , 0.2975398  | in degrees: 2 | out degrees: 2 |
-0.1975267 , 0.2618449  | in degrees: 3 | out degrees: 2 |
-0.2086678 , 0.313425  | in degrees: 2 | out degrees: 2 |
0.8954648 , -0.2377753  | in degrees: 1 | out degrees: 2 |
1.006171 , -0.2373324  | in degrees: 2 | out degrees: 2 |
0.9683895 , -0.3395521  | in degrees: 4 | out degrees: 2 |
0.9859774 , -0.4015491  | in degrees: 2 | out degrees: 2 |
0.9097342 , -0.4004126  | in degrees: 2 | out degrees: 2 |
-0.8243837 , 1.405135  | in degrees: 4 | out degrees: 2 |
-0.8442855 , 1.530998  | in degrees: 3 | out degrees: 2 |
-0.8930663 , 1.622089  | in degrees: 5 | out degrees: 2 |
-0.8413753 , 1.692213  | in degrees: 2 | out degrees: 2 |
-0.7012812 , 1.329372  | in degrees: 3 | out degrees: 2 |
-0.678076 , 1.215605  | in degrees: 3 | out degrees: 2 |
-0.7812697 , 1.10853  | in degrees: 3 | out degrees: 2 |
-0.7649236 , 1.088331  | in degrees: 1 | out degrees: 2 |
0.652238 , 0.7167501  | in degrees: 2 | out degrees: 2 |
0.5643049 , 0.6164218  | in degrees: 2 | out degrees: 2 |
0.4690332 , 0.7754533  | in degrees: 3 | out degrees: 2 |
0.4938923 , 0.8758561  | in degrees: 1 | out degrees: 2 |
0.3093685 , 0.7195405  | in degrees: 2 | out degrees: 2 |
0.3079973 , 0.6245769  | in degrees: 2 | out degrees: 2 |
0.3070908 , 0.559201  | in degrees: 3 | out degrees: 2 |
0.3599877 , 0.4703352  | in degrees: 2 | out degrees: 2 |
0.4765678 , 0.4395968  | in degrees: 1 | out degrees: 2 |
-0.5685023 , -0.5619594  | in degrees: 2 | out degrees: 2 |
-0.6003721 , -0.5749019  | in degrees: 3 | out degrees: 2 |
-0.510753 , -0.6368674  | in degrees: 3 | out degrees: 2 |
-0.7495223 , -0.04816525  | in degrees: 1 | out degrees: 2 |
-0.7973685 , -0.1287823  | in degrees: 2 | out degrees: 2 |
-0.7066377 , -0.1872585  | in degrees: 4 | out degrees: 2 |
-0.6740179 , -0.1370078  | in degrees: 3 | out degrees: 2 |
-0.6507344 , -0.08160899  | in degrees: 2 | out degrees: 2 |
-0.565274 , -0.06368864  | in degrees: 3 | out degrees: 2 |
-0.5661778 , -0.05116398  | in degrees: 2 | out degrees: 2 |
-0.531276 , -0.09329864  | in degrees: 3 | out degrees: 2 |
-0.6390789 , -0.2076529  | in degrees: 2 | out degrees: 2 |
-0.423029 , 0.1329242  | in degrees: 0 | out degrees: 2 |
-0.506328 , 0.2033758  | in degrees: 1 | out degrees: 2 |
-0.3433222 , 0.2555734  | in degrees: 2 | out degrees: 2 |
-0.2898963 , 0.2711711  | in degrees: 2 | out degrees: 2 |
-0.2530077 , 0.2234902  | in degrees: 2 | out degrees: 2 |
1.825663 , 0.009223205  | in degrees: 0 | out degrees: 2 |
0.02786473 , 0.4181463  | in degrees: 2 | out degrees: 2 |
-0.05623751 , 0.3699622  | in degrees: 3 | out degrees: 2 |
-0.1276993 , 0.4062001  | in degrees: 3 | out degrees: 2 |
-0.1391188 , 0.4459167  | in degrees: 3 | out degrees: 2 |
-0.4512833 , 1.122221  | in degrees: 1 | out degrees: 2 |
-0.4890774 , 1.142424  | in degrees: 2 | out degrees: 2 |
-0.5329375 , 1.267127  | in degrees: 3 | out degrees: 2 |
-0.5250744 , 1.419858  | in degrees: 3 | out degrees: 2 |
-0.5193818 , 1.521205  | in degrees: 1 | out degrees: 2 |
-0.6792256 , 1.477654  | in degrees: 1 | out degrees: 2 |
-0.2375288 , 1.419309  | in degrees: 1 | out degrees: 2 |
-0.09006112 , 1.622963  | in degrees: 2 | out degrees: 2 |
0.1516392 , 1.732537  | in degrees: 0 | out degrees: 2 |
-0.06722105 , 0.05353138  | in degrees: 2 | out degrees: 2 |
-0.08443684 , 0.06507176  | in degrees: 1 | out degrees: 2 |
-0.02733644 , 0.1151882  | in degrees: 2 | out degrees: 2 |
0.8989104 , -0.7895424  | in degrees: 1 | out degrees: 2 |
0.8926264 , -0.7405733  | in degrees: 3 | out degrees: 2 |
0.826736 , -0.7278963  | in degrees: 4 | out degrees: 2 |
0.7866732 , -0.7477995  | in degrees: 3 | out degrees: 2 |
0.659966 , -1.751587  | in degrees: 1 | out degrees: 2 |
0.6600898 , -1.727609  | in degrees: 1 | out degrees: 2 |
-0.03969733 , 0.8561498  | in degrees: 2 | out degrees: 2 |
-0.009394046 , 0.8507596  | in degrees: 4 | out degrees: 2 |
0.03909821 , 0.8648603  | in degrees: 2 | out degrees: 2 |
0.01825435 , 0.8057035  | in degrees: 4 | out degrees: 2 |
0.1301428 , -1.397284  | in degrees: 2 | out degrees: 2 |
0.003566448 , -1.467357  | in degrees: 3 | out degrees: 2 |
-0.1676537 , -1.543896  | in degrees: 1 | out degrees: 2 |
0.09349084 , -1.638066  | in degrees: 2 | out degrees: 2 |
0.2845362 , -1.521896  | in degrees: 2 | out degrees: 2 |
0.8170675 , -0.622863  | in degrees: 1 | out degrees: 2 |
0.7857077 , -0.5040029  | in degrees: 3 | out degrees: 2 |
0.7717856 , -0.4766967  | in degrees: 2 | out degrees: 2 |
0.681871 , -0.4356729  | in degrees: 1 | out degrees: 2 |
-1.667311 , 0.6520793  | in degrees: 1 | out degrees: 2 |
-1.694791 , 0.5335651  | in degrees: 1 | out degrees: 2 |
0.7704275 , 2.294063  | in degrees: 3 | out degrees: 2 |
0.4218163 , 2.236998  | in degrees: 2 | out degrees: 2 |
0.5366184 , 1.99427  | in degrees: 3 | out degrees: 2 |
0.8618533 , 1.889897  | in degrees: 2 | out degrees: 2 |
0.9778234 , 1.942731  | in degrees: 1 | out degrees: 2 |
-0.7851964 , 0.4071474  | in degrees: 2 | out degrees: 2 |
-0.6799846 , 0.4164212  | in degrees: 1 | out degrees: 2 |
-0.7584445 , 0.5733216  | in degrees: 3 | out degrees: 2 |
-0.7860628 , 0.593621  | in degrees: 2 | out degrees: 2 |
-0.8614319 , 0.5509628  | in degrees: 3 | out degrees: 2 |
-0.861655 , 0.3122751  | in degrees: 2 | out degrees: 2 |
-0.787316 , 0.2011901  | in degrees: 2 | out degrees: 2 |
-0.6991467 , 0.1768099  | in degrees: 1 | out degrees: 2 |
1.548645 , -0.5104704  | in degrees: 1 | out degrees: 2 |
1.532589 , -0.4925304  | in degrees: 1 | out degrees: 2 |
0.08954458 , 0.6656822  | in degrees: 1 | out degrees: 2 |
0.06157785 , 0.6968434  | in degrees: 1 | out degrees: 2 |
0.4813341 , 0.1608431  | in degrees: 1 | out degrees: 2 |
0.4401042 , 0.241742  | in degrees: 1 | out degrees: 2 |
0.4484951 , 0.07445733  | in degrees: 3 | out degrees: 2 |
0.4576144 , 0.04459037  | in degrees: 3 | out degrees: 2 |
0.4197565 , 0.05990668  | in degrees: 3 | out degrees: 2 |
-0.4277468 , -1.964771  | in degrees: 1 | out degrees: 2 |
-0.4104393 , -2.011202  | in degrees: 1 | out degrees: 2 |
-2.148202 , -0.4772286  | in degrees: 2 | out degrees: 2 |
-2.166028 , -0.4591902  | in degrees: 3 | out degrees: 2 |
-2.160577 , -0.4443172  | in degrees: 4 | out degrees: 2 |
-1.444319 , 1.339903  | in degrees: 1 | out degrees: 2 |
-1.076352 , 1.53592  | in degrees: 3 | out degrees: 2 |
-1.024934 , 1.430576  | in degrees: 2 | out degrees: 2 |
-0.9629066 , 1.33206  | in degrees: 2 | out degrees: 2 |
-1.319694 , 0.9320671  | in degrees: 1 | out degrees: 2 |
-1.105092 , 0.8206488  | in degrees: 3 | out degrees: 2 |
-0.9911614 , 0.8521672  | in degrees: 3 | out degrees: 2 |
-0.956999 , 0.8507182  | in degrees: 3 | out degrees: 2 |
0.8638317 , 1.046798  | in degrees: 2 | out degrees: 2 |
0.8438595 , 0.995995  | in degrees: 2 | out degrees: 2 |
0.9168803 , 0.9645711  | in degrees: 2 | out degrees: 2 |
-0.370237 , -1.003952  | in degrees: 2 | out degrees: 2 |
-0.247905 , -0.95426  | in degrees: 2 | out degrees: 2 |
-0.1864898 , -0.9494291  | in degrees: 2 | out degrees: 2 |
1.39648 , -1.055821  | in degrees: 3 | out degrees: 2 |
1.469515 , -1.02418  | in degrees: 4 | out degrees: 2 |
1.464544 , -1.162531  | in degrees: 2 | out degrees: 2 |
1.278706 , -1.011765  | in degrees: 1 | out degrees: 2 |
1.011732 , 0.6973612  | in degrees: 4 | out degrees: 2 |
0.9744539 , 0.7938792  | in degrees: 2 | out degrees: 2 |
0.8460718 , 0.6867596  | in degrees: 1 | out degrees: 2 |
1.077155 , 0.6054699  | in degrees: 3 | out degrees: 2 |
0.9647413 , 0.5435134  | in degrees: 3 | out degrees: 2 |
0.8790888 , 0.4502055  | in degrees: 2 | out degrees: 2 |
0.8165442 , 0.5058018  | in degrees: 3 | out degrees: 2 |
0.7010158 , 0.4592939  | in degrees: 2 | out degrees: 2 |
0.7049793 , 0.4462241  | in degrees: 1 | out degrees: 2 |
0.9447613 , -1.078982  | in degrees: 0 | out degrees: 2 |
0.7112505 , -1.001738  | in degrees: 2 | out degrees: 2 |
0.6202947 , -1.044816  | in degrees: 1 | out degrees: 2 |
0.6526226 , -0.8103363  | in degrees: 3 | out degrees: 2 |
0.6698836 , -0.7085515  | in degrees: 1 | out degrees: 2 |
0.7322928 , -1.270247  | in degrees: 2 | out degrees: 2 |
0.6504599 , -1.348747  | in degrees: 3 | out degrees: 2 |
0.7264976 , -1.397027  | in degrees: 3 | out degrees: 2 |
0.7509819 , -1.436181  | in degrees: 1 | out degrees: 2 |
-0.2995551 , -0.5500836  | in degrees: 1 | out degrees: 2 |
-0.3175085 , -0.4805097  | in degrees: 4 | out degrees: 2 |
-0.3005576 , -0.4344786  | in degrees: 2 | out degrees: 2 |
-0.2502977 , -0.4888036  | in degrees: 3 | out degrees: 2 |
-0.1232268 , 0.577308  | in degrees: 1 | out degrees: 2 |
-0.1997018 , 0.5976533  | in degrees: 1 | out degrees: 2 |
1.083883 , 0.3567006  | in degrees: 0 | out degrees: 2 |
1.199039 , 0.198484  | in degrees: 3 | out degrees: 2 |
1.090681 , 0.1085546  | in degrees: 2 | out degrees: 2 |
1.221569 , 0.03297264  | in degrees: 3 | out degrees: 2 |
1.527769 , -0.7542361  | in degrees: 2 | out degrees: 2 |
1.443053 , -0.8637903  | in degrees: 1 | out degrees: 2 |
1.688745 , -0.7700008  | in degrees: 2 | out degrees: 2 |
1.740348 , -1.009745  | in degrees: 3 | out degrees: 2 |
1.62914 , -1.148606  | in degrees: 3 | out degrees: 2 |
1.703166 , -1.209334  | in degrees: 3 | out degrees: 2 |
-2.27873 , -0.4692116  | in degrees: 2 | out degrees: 2 |
0.5107603 , -0.02464771  | in degrees: 2 | out degrees: 2 |
0.597292 , -0.1019481  | in degrees: 3 | out degrees: 2 |
0.6129507 , -0.1084384  | in degrees: 2 | out degrees: 2 |
-0.6741453 , -0.3209619  | in degrees: 1 | out degrees: 2 |
-0.7423294 , -0.2899188  | in degrees: 1 | out degrees: 2 |
-1.963063 , -0.852544  | in degrees: 3 | out degrees: 2 |
-1.936344 , -0.805438  | in degrees: 3 | out degrees: 2 |
-1.861725 , -0.9564533  | in degrees: 2 | out degrees: 2 |
1.291456 , 0.6999309  | in degrees: 2 | out degrees: 2 |
1.213486 , 0.7986165  | in degrees: 1 | out degrees: 2 |
1.264913 , 0.5070872  | in degrees: 1 | out degrees: 2 |
-0.7944583 , -0.8550205  | in degrees: 2 | out degrees: 2 |
-0.8049425 , -0.8025764  | in degrees: 1 | out degrees: 2 |
-0.8677179 , -0.5850754  | in degrees: 2 | out degrees: 2 |
-0.7361851 , -0.5442237  | in degrees: 2 | out degrees: 2 |
-0.7079324 , -0.5300388  | in degrees: 3 | out degrees: 2 |
-0.6296931 , -0.4696793  | in degrees: 2 | out degrees: 2 |
-0.7344379 , -1.048299  | in degrees: 2 | out degrees: 2 |
-0.9558398 , -1.121328  | in degrees: 4 | out degrees: 2 |
-1.061096 , -1.277448  | in degrees: 3 | out degrees: 2 |
-1.018055 , -1.316128  | in degrees: 2 | out degrees: 2 |
0.1884938 , 0.5898823  | in degrees: 1 | out degrees: 2 |
1.732785 , -1.494677  | in degrees: 0 | out degrees: 2 |
-0.278308 , -0.8021395  | in degrees: 0 | out degrees: 2 |
-0.04035375 , 0.7533952  | in degrees: 1 | out degrees: 2 |
-0.06996391 , 0.7309151  | in degrees: 1 | out degrees: 2 |
-0.8064615 , 1.880377  | in degrees: 0 | out degrees: 2 |
2.217777 , -0.4646687  | in degrees: 1 | out degrees: 2 |
-0.3142182 , -0.6616431  | in degrees: 1 | out degrees: 2 |
-0.3895172 , -0.6137919  | in degrees: 3 | out degrees: 2 |
-0.373509 , -0.5885021  | in degrees: 3 | out degrees: 2 |
-1.5114 , -0.8905239  | in degrees: 0 | out degrees: 2 |
-1.236713 , -1.117257  | in degrees: 1 | out degrees: 2 |
0.3921027 , -0.6944373  | in degrees: 0 | out degrees: 2 |
0.2963447 , -0.9747297  | in degrees: 1 | out degrees: 2 |
0.1663601 , -1.046808  | in degrees: 1 | out degrees: 2 |
0.5103464 , -0.5177032  | in degrees: 1 | out degrees: 2 |
0.4717682 , -0.4723195  | in degrees: 1 | out degrees: 2 |
0.580112 , -0.5740802  | in degrees: 3 | out degrees: 2 |
0.5996681 , -0.5598924  | in degrees: 2 | out degrees: 2 |
0.537879 , -0.6242136  | in degrees: 2 | out degrees: 2 |
-3.190824 , -0.8550614  | in degrees: 0 | out degrees: 2 |
-2.449843 , -0.3338551  | in degrees: 1 | out degrees: 2 |
0.2122605 , 0.4850962  | in degrees: 1 | out degrees: 2 |
1.164652 , -0.502721  | in degrees: 2 | out degrees: 2 |
1.126176 , -0.4696345  | in degrees: 2 | out degrees: 2 |
1.197351 , -0.5924046  | in degrees: 2 | out degrees: 2 |
-1.032703 , 0.07955971  | in degrees: 4 | out degrees: 2 |
-1.062695 , 0.04186623  | in degrees: 4 | out degrees: 2 |
-1.092143 , 0.02733219  | in degrees: 2 | out degrees: 2 |
-0.9132108 , 0.6989439  | in degrees: 1 | out degrees: 2 |
-1.03126 , 0.2148818  | in degrees: 0 | out degrees: 2 |
2.258684 , -1.200324  | in degrees: 1 | out degrees: 2 |
2.558895 , -1.159365  | in degrees: 1 | out degrees: 2 |
-1.132089 , -0.2079794  | in degrees: 3 | out degrees: 2 |
-1.215269 , -0.1190059  | in degrees: 1 | out degrees: 2 |
-1.235293 , -0.2794705  | in degrees: 2 | out degrees: 2 |
-1.978173 , 1.270962  | in degrees: 2 | out degrees: 2 |
-1.939116 , 1.166928  | in degrees: 2 | out degrees: 2 |
-2.082844 , 1.728429  | in degrees: 1 | out degrees: 2 |
-1.123633 , 1.832291  | in degrees: 0 | out degrees: 2 |
-1.009081 , 1.113038  | in degrees: 1 | out degrees: 2 |
-0.938093 , 1.101781  | in degrees: 1 | out degrees: 2 |
1.10855 , -0.1407978  | in degrees: 0 | out degrees: 2 |
-1.037161 , -0.6143352  | in degrees: 0 | out degrees: 2 |
-1.137113 , 0.5418578  | in degrees: 0 | out degrees: 2 |
1.137673 , 2.673019  | in degrees: 1 | out degrees: 2 |
-0.5060567 , -1.229899  | in degrees: 0 | out degrees: 2 |
-0.9151151 , 0.0115319  | in degrees: 0 | out degrees: 2 |
-1.958206 , -2.284354  | in degrees: 1 | out degrees: 2 |
-1.850916 , -2.04903  | in degrees: 1 | out degrees: 2 |
-0.4417847 , -0.202454  | in degrees: 1 | out degrees: 2 |
-0.4955972 , -0.1593709  | in degrees: 1 | out degrees: 2 |
0.1465486 , -0.07453959  | in degrees: 3 | out degrees: 2 |
0.1760105 , -0.07724736  | in degrees: 3 | out degrees: 2 |
0.2302332 , -0.1076641  | in degrees: 3 | out degrees: 2 |
-1.029302 , -0.3321101  | in degrees: 1 | out degrees: 2 |
-0.9251721 , -0.2260874  | in degrees: 1 | out degrees: 2 |
1.810911 , 1.734909  | in degrees: 2 | out degrees: 2 |
1.91669 , 1.66747  | in degrees: 2 | out degrees: 2 |
1.803234 , 1.469798  | in degrees: 2 | out degrees: 2 |
0.4812312 , 3.551637  | in degrees: 0 | out degrees: 2 |
0.3838906 , -0.2052066  | in degrees: 1 | out degrees: 2 |
0.3546176 , -0.257632  | in degrees: 1 | out degrees: 2 |
0.3651557 , -0.06402546  | in degrees: 1 | out degrees: 2 |
-2.745693 , 0.3842483  | in degrees: 0 | out degrees: 2 |
-2.108416 , 0.4609685  | in degrees: 1 | out degrees: 2 |
-2.170199 , 0.07648954  | in degrees: 2 | out degrees: 2 |
-1.815715 , -0.6201266  | in degrees: 0 | out degrees: 2 |
1.206266 , 1.055497  | in degrees: 0 | out degrees: 2 |
0.4368942 , -0.8506673  | in degrees: 0 | out degrees: 2 |
1.016185 , -1.477549  | in degrees: 0 | out degrees: 2 |
0.2419384 , 0.05245113  | in degrees: 0 | out degrees: 2 |
-0.2401309 , 0.906594  | in degrees: 0 | out degrees: 2 |
-0.50094 , -0.7500293  | in degrees: 0 | out degrees: 2 |
0.7448782 , -0.1308087  | in degrees: 0 | out degrees: 2 |
-0.4168257 , -0.5062403  | in degrees: 0 | out degrees: 2 |
0.1634094 , 0.3105054  | in degrees: 0 | out degrees: 2 |
